	EA		FAM		IMM		CONC		FQ		LE											SONORITÃ€	MODO					LUOGO						VOCALE	
COFANO	4,41	1,19	5,80	1,46	5,59	1,60	6,00	1,38	3	9	0	0	0	0	0	10,95	3	6	s	sorda	occlusiva	0	1	0	0	0	0	0	0	0	0	0	1	0	537
COLLERA	4,70	1,25	5,34	1,43	3,36	1,84	4,30	2,37	24	30	13	12	1	0	1	11,48	3	7	s	sorda	occlusiva	0	1	0	0	0	0	0	0	0	0	0	1	0	544
COLORE	2,27	0,82	6,73	0,73	4,73	2,00	5,65	1,72	172	250	847	282	565	46	3	11,41	3	6	p	sorda	occlusiva	0	1	0	0	0	0	0	0	0	0	0	1	0	528
COLPA	3,20	1,15	6,36	0,89	2,82	1,86	4,39	2,64	199	295	108	48	60	16	5	10,72	2	5	p	sorda	occlusiva	0	1	0	0	0	0	0	0	0	0	0	1	0	511
COLTELLO	2,41	1,21	6,84	0,48	6,55	0,85	5,50	1,95	64	77	48	26	22	2	0	11,13	3	8	p	sorda	occlusiva	0	1	0	0	0	0	0	0	0	0	0	1	0	506
COMETA	3,07	1,07	5,70	1,41	5,89	1,53	6,07	1,42	4	5	9	9	0	0	0	11,22	3	6	p	sorda	occlusiva	0	1	0	0	0	0	0	0	0	0	0	1	0	534
COMIZIO	5,61	1,38	4,98	1,49	4,00	1,77	5,41	1,85	7	24	0	0	0	1	0	10,79	3	7	p	sorda	occlusiva	0	1	0	0	0	0	0	0	0	0	0	1	0	523
COMPAGNO	3,18	0,92	6,82	0,58	5,41	1,45	4,50	1,75	125	187	748	140	608	44	1	10,77	3	8	p	sorda	occlusiva	0	1	0	0	0	0	0	0	0	0	0	1	0	524
CONFETTO	2,77	0,99	6,14	1,21	5,89	1,32	6,80	0,59	4	3	15	6	9	1	0	10,83	3	8	p	sorda	occlusiva	0	1	0	0	0	0	0	0	0	0	0	1	0	552
CONIGLIO	2,30	0,88	6,77	0,60	6,34	1,12	4,75	2,63	11	22	178	65	113	0	1	11,05	3	8	p	sorda	occlusiva	0	1	0	0	0	0	0	0	0	0	0	1	0	534
COPERCHIO	3,00	0,89	6,59	0,73	5,93	1,37	5,95	1,55	29	16	18	15	3	2	0	10,92	3	9	p	sorda	occlusiva	0	1	0	0	0	0	0	0	0	0	0	1	0	567
CORALLO	4,41	1,34	5,52	1,72	5,43	1,63	6,14	1,50	9	8	13	11	2	0	0	11,39	3	7	p	sorda	occlusiva	0	1	0	0	0	0	0	0	0	0	0	1	0	549
CORNICE	3,64	0,92	6,30	0,93	5,91	1,41	5,25	1,86	27	50	12	5	7	16	0	10,97	3	7	p	sorda	occlusiva	0	1	0	0	0	0	0	0	0	0	0	1	0	529
CORO	3,45	0,90	5,93	1,52	5,00	1,67	5,32	1,62	54	73	32	19	13	0	10	11,59	2	4	p	sorda	occlusiva	0	1	0	0	0	0	0	0	0	0	0	1	0	517
CORVO	3,52	1,15	5,93	1,56	5,91	1,22	6,82	0,66	5	9	51	43	8	0	6	10,90	2	5	p	sorda	occlusiva	0	1	0	0	0	0	0	0	0	0	0	1	0	505
CRANIO	4,66	1,06	5,77	1,33	5,75	1,56	6,30	1,34	25	35	11	11	0	0	1	11,10	2	6	p	sorda	occlusiva	0	1	0	0	0	0	0	0	0	0	0	1	0	554
CRATERE	4,57	1,07	5,11	1,62	5,48	1,52	6,25	1,46	3	4	7	6	1	0	0	11,28	3	7	p	sorda	occlusiva	0	1	0	0	0	0	0	0	0	0	0	1	0	631
CRAVATTA	3,52	1,13	6,52	0,82	6,00	1,31	5,43	2,22	21	40	18	8	10	2	0	11,01	3	8	p	sorda	occlusiva	0	1	0	0	0	0	0	0	0	0	0	1	0	556
CRESTA	4,43	1,65	5,05	1,60	5,02	1,69	5,27	1,85	18	18	9	6	3	1	2	11,16	2	6	p	sorda	occlusiva	0	1	0	0	0	0	0	0	0	0	0	1	0	533
CRISTALLO	4,23	1,12	5,84	1,20	5,02	1,70	6,50	0,90	35	37	40	29	11	5	0	10,99	3	9	p	sorda	occlusiva	0	1	0	0	0	0	0	0	0	0	0	1	0	574
CRONACA	5,27	1,17	5,61	1,47	3,30	1,75	4,91	2,22	26	107	23	23	0	7	0	10,92	3	7	s	sorda	occlusiva	0	1	0	0	0	0	0	0	0	0	0	1	0	543
CUBO	3,77	1,12	6,02	1,36	5,68	1,75	4,50	2,38	3	13	17	15	2	5	4	10,09	2	4	p	sorda	occlusiva	0	1	0	0	0	0	0	0	0	0	0	1	0	514
CUCCHIAIO	2,07	0,79	6,82	0,54	6,32	1,16	5,59	1,73	21	78	14	10	4	7	0	10,50	3	9	p	sorda	occlusiva	0	1	0	0	0	0	0	0	0	0	0	1	0	577
CUOIO	4,14	1,05	6,18	1,19	5,05	1,80	4,32	2,50	22	66	15	7	8	3	1	10,63	2	5	p	sorda	occlusiva	0	1	0	0	0	0	0	0	0	0	0	1	0	552
CUORE	2,61	0,75	6,75	0,84	5,57	1,40	6,25	1,33	680	730	310	162	148	42	0	11,05	2	5	p	sorda	occlusiva	0	1	0	0	0	0	0	0	0	0	0	1	0	516
CUSCINO	2,05	0,68	6,70	0,73	6,16	1,31	6,93	0,25	10	27	31	15	16	2	0	10,81	3	7	p	sorda	occlusiva	0	1	0	0	0	0	0	0	0	0	0	1	0	574
CUSTODE	4,75	1,30	5,82	1,35	4,86	1,53	5,98	1,47	40	43	24	18	6	2	0	10,62	3	7	p	sorda	occlusiva	0	1	0	0	0	0	0	0	0	0	0	1	0	576
DAMIGIANA	4,59	1,21	5,07	1,80	5,75	1,53	6,73	0,62	2	2	0	0	0	0	0	10,89	4	9	p	sonora	occlusiva	1	1	0	0	0	0	0	0	1	0	0	0	0	625
DEMONIO	4,27	1,17	5,64	1,62	4,00	1,90	4,02	2,58	12	17	0	0	0	2	0	11,09	3	7	p	sonora	occlusiva	1	1	0	0	0	0	0	0	1	0	0	0	0	524
DENARO	3,39	1,10	6,66	1,10	6,14	1,17	6,07	1,61	168	321	86	74	12	17	1	11,39	3	6	p	sonora	occlusiva	1	1	0	0	0	0	0	0	1	0	0	0	0	499
DETTAGLIO	5,39	1,22	5,30	1,71	2,43	1,48	2,43	1,44	8	67	0	0	0	7	0	10,97	3	9	p	sonora	occlusiva	1	1	0	0	0	0	0	0	1	0	0	0	0	542
DIAMANTE	4,20	1,21	6,23	1,16	5,57	1,58	6,73	0,73	4	14	33	28	5	3	0	11,31	3	8	p	sonora	occlusiva	1	1	0	0	0	0	0	0	1	0	0	0	0	532
DIAVOLO	2,82	0,79	6,41	1,24	4,48	2,04	4,36	2,51	140	148	39	27	12	7	0	11,08	3	7	s	sonora	occlusiva	1	1	0	0	0	0	0	0	1	0	0	0	0	533
DIGA	4,68	1,31	5,57	1,50	5,02	1,86	6,34	1,10	11	10	12	11	1	0	4	10,94	2	4	p	sonora	occlusiva	1	1	0	0	0	0	0	0	1	0	0	0	0	539
DILUVIO	3,93	1,26	6,20	1,39	5,14	1,79	5,55	1,77	11	17	8	6	2	0	0	10,40	3	7	p	sonora	occlusiva	1	1	0	0	0	0	0	0	1	0	0	0	0	544
DIVANO	2,59	0,97	6,64	0,84	6,25	0,94	5,84	1,75	41	64	72	10	62	32	0	11,29	3	6	p	sonora	occlusiva	1	1	0	0	0	0	0	0	1	0	0	0	0	505
DOCCIA	2,70	0,85	6,82	0,58	6,11	1,17	4,39	2,34	12	49	25	8	17	5	3	10,95	2	6	p	sonora	occlusiva	1	1	0	0	0	0	0	0	1	0	0	0	0	520
DOGANA	5,23	1,26	5,61	1,48	4,36	1,77	4,43	1,98	4	3	0	0	0	0	0	10,87	3	6	p	sonora	occlusiva	1	1	0	0	0	0	0	0	1	0	0	0	0	545
DOMICILIO	5,70	1,25	5,25	1,78	4,00	2,32	3,07	1,80	23	31	0	0	0	9	0	10,99	4	9	p	sonora	occlusiva	1	1	0	0	0	0	0	0	1	0	0	0	0	554
DONNA	2,55	1,15	7,00	0,00	6,11	1,20	3,73	2,08	951	1370	278	167	111	106	2	11,18	2	5	p	sonora	occlusiva	1	1	0	0	0	0	0	0	1	0	0	0	0	502
DOSE	5,25	1,31	5,61	1,65	3,09	1,84	5,30	2,02	15	63	14	4	10	2	3	11,32	2	4	p	sonora	occlusiva	1	1	0	0	0	0	0	0	1	0	0	0	0	499
DRAGO	2,36	0,84	6,00	1,36	5,45	1,85	5,57	2,17	8	24	51	15	36	1	0	10,52	2	5	p	sonora	occlusiva	1	1	0	0	0	0	0	0	1	0	0	0	0	520
DRAMMA	5,48	1,44	5,50	1,53	3,93	1,74	4,55	2,36	38	136	9	4	5	10	1	10,64	2	6	p	sonora	occlusiva	1	1	0	0	0	0	0	0	1	0	0	0	0	527
EDERA	3,55	1,02	5,41	1,67	5,52	1,65	6,39	1,15	20	24	10	7	3	0	1	11,30	3	5	s	sonora	vocale	1	0	0	0	0	0	0	0	0	0	0	0	1	543
EDICOLA	3,73	1,09	6,34	0,86	6,25	1,18	5,93	1,34	4	34	14	13	1	2	0	11,13	4	7	s	sonora	vocale	1	0	0	0	0	0	0	0	0	0	0	0	1	526
ELEFANTE	2,45	0,79	6,57	1,02	6,50	0,88	6,34	1,22	41	36	103	83	20	1	1	10,84	4	8	p	sonora	vocale	1	0	0	0	0	0	0	0	0	0	0	0	1	504
ELICA	4,11	1,13	5,89	1,08	5,91	1,54	6,43	1,04	7	4	0	0	0	0	2	11,20	3	5	s	sonora	vocale	1	0	0	0	0	0	0	0	0	0	0	0	1	510
ELMO	4,50	1,47	4,57	2,02	4,86	2,02	4,89	2,20	7	6	8	6	2	0	3	10,66	2	4	p	sonora	vocale	1	0	0	0	0	0	0	0	0	0	0	0	1	482
EPISODIO	4,75	1,26	5,57	1,66	2,68	1,85	3,77	2,11	45	188	30	15	15	6	0	10,46	4	8	p	sonora	vocale	1	0	0	0	0	0	0	0	0	0	0	0	1	529
EPOCA	5,18	1,37	5,68	1,36	2,82	1,73	4,07	2,71	94	394	44	37	7	19	1	10,49	3	5	s	sonora	vocale	1	0	0	0	0	0	0	0	0	0	0	0	1	507
ERBA	2,32	1,05	6,80	0,59	6,16	1,14	6,70	0,63	144	125	329	149	180	3	1	10,54	2	4	p	sonora	vocale	1	0	0	0	0	0	0	0	0	0	0	0	1	511
EREDE	5,39	1,30	5,61	1,47	3,48	1,87	4,36	2,14	20	67	8	8	0	2	0	11,34	3	5	p	sonora	vocale	1	0	0	0	0	0	0	0	0	0	0	0	1	541
ERGASTOLO	5,70	1,02	5,95	1,41	3,55	2,12	5,23	2,07	21	33	0	0	0	2	0	10,69	4	9	s	sonora	vocale	1	0	0	0	0	0	0	0	0	0	0	0	1	584
ERNIA	5,48	1,47	4,34	1,78	3,09	1,84	4,66	2,10	4	10	0	0	0	0	1	11,06	2	5	p	sonora	vocale	1	0	0	0	0	0	0	0	0	0	0	0	1	547
ESTATE	2,55	0,79	6,95	0,30	5,30	1,91	3,34	1,70	193	538	377	108	269	24	0	11,33	3	6	p	sonora	vocale	1	0	0	0	0	0	0	0	0	0	0	0	1	524
FACCENDA	5,00	1,24	5,14	1,64	2,36	1,56	3,89	2,20	42	71	43	25	18	11	0	10,67	3	8	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	536
FAMA	5,25	1,37	5,82	1,33	3,25	1,97	3,95	2,71	22	113	15	11	4	3	5	10,89	2	4	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	529
FAME	1,82	1,19	6,73	0,82	3,93	2,02	2,66	2,01	140	175	169	82	87	21	4	10,89	2	4	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	508
FAMIGLIA	2,39	0,84	6,84	0,68	5,61	1,57	5,48	1,34	412	1157	706	183	523	101	0	10,63	3	8	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	517
FANALE	4,67	1,30	5,55	1,49	5,57	1,66	6,66	1,06	8	3	0	0	0	0	4	11,12	3	6	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	552
FANCIULLO	4,05	1,12	6,18	1,45	5,39	1,59	4,45	1,91	49	12	77	62	15	0	0	10,53	3	9	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	527
FANGO	2,98	0,93	6,39	0,99	5,57	1,52	6,48	0,90	36	51	37	20	17	0	4	10,49	2	5	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	531
FANTASMA	2,77	0,91	6,34	1,03	4,68	1,90	4,27	2,49	28	65	111	56	55	0	1	10,63	3	8	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	508
FARABUTTO	5,11	1,40	5,34	1,58	3,55	1,87	5,41	1,86	4	5	0	0	0	0	0	10,52	4	9	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	597
FARFALLA	1,93	0,66	6,82	0,50	6,55	0,98	6,80	0,67	48	25	144	70	74	2	0	10,51	3	8	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	559
FARINA	2,75	0,99	6,70	0,59	6,05	1,29	6,64	0,81	34	64	88	29	59	1	1	11,12	3	6	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	528
FARO	3,73	1,04	6,05	1,03	5,91	1,46	6,57	0,87	14	27	33	17	16	1	8	11,08	2	4	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	527
FASCINO	5,25	1,37	6,02	1,23	3,48	1,81	4,48	2,47	25	149	12	11	1	0	0	10,88	3	7	s	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	539
FASE	5,11	1,28	5,07	1,82	2,09	1,27	3,84	2,38	50	285	29	28	1	66	3	10,90	2	4	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	528
FASTIDIO	3,61	1,35	6,09	1,27	3,39	1,99	4,18	2,33	39	70	30	16	14	14	0	10,80	3	8	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	545
FATA	2,20	0,88	6,05	1,41	4,70	2,08	4,93	2,31	9	16	120	67	53	6	6	11,14	2	4	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	516
FAUNA	4,50	1,11	4,57	1,62	3,91	1,89	5,73	1,58	8	23	13	2	11	1	1	10,56	2	5	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	552
FAVOLA	1,70	0,73	6,57	1,02	4,30	2,08	3,52	2,10	55	82	72	47	25	9	1	10,86	3	6	s	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	554
FEBBRE	2,20	0,88	6,48	0,95	4,32	2,07	5,80	1,68	78	71	40	11	29	11	0	10,14	2	6	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	534
FEMMINA	2,55	1,07	6,91	0,36	5,41	1,87	5,16	1,58	19	60	120	23	97	2	0	10,48	3	7	s	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	575
FESTA	2,11	0,72	6,86	0,46	5,14	1,75	3,36	1,75	269	396	362	92	270	52	6	10,96	2	5	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	525
FETTA	2,57	0,70	6,25	1,20	4,86	1,69	5,84	1,51	11	60	34	22	12	2	8	10,83	2	5	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	558
FIAMMA	3,00	0,94	6,73	0,54	6,09	1,29	6,23	1,26	86	71	48	39	9	1	0	10,60	2	6	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	545
FIBBIA	4,70	1,47	4,80	1,94	5,30	1,56	6,52	1,02	2	1	0	0	0	1	1	10,21	2	6	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	539
FIDUCIA	4,70	1,09	5,91	1,46	3,00	2,18	2,05	1,68	96	352	26	21	5	27	0	10,24	3	7	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	542
FIENO	3,75	1,04	5,25	1,84	5,41	1,72	5,45	1,93	10	14	22	8	14	0	2	11,01	2	5	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	495
FIGLIO	2,16	0,75	6,86	0,41	5,25	1,53	4,64	1,89	555	838	435	201	234	70	6	10,66	2	6	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	537
FINESTRA	2,39	0,99	6,84	0,43	6,57	0,73	6,75	0,61	217	182	381	160	221	9	2	11,03	3	8	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	551
FIUME	2,70	0,70	6,75	0,69	6,09	1,14	6,45	0,95	308	242	300	139	161	2	0	10,27	2	5	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	536
FLANELLA	5,45	1,15	4,00	1,68	4,36	2,06	6,39	1,19	9	3	0	0	0	0	0	10,84	3	8	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	591
FLOTTA	4,55	1,17	5,20	1,52	4,75	1,79	5,61	1,57	9	35	10	9	1	0	0	10,36	2	6	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	556
FOCA	2,86	0,88	6,14	1,34	5,80	1,34	5,61	1,93	8	5	38	11	27	0	5	10,62	2	4	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	526
FOGNA	4,02	1,17	6,25	1,04	4,93	1,69	4,75	1,92	5	7	11	0	11	0	2	10,42	2	5	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	536
FOLLA	4,05	1,16	6,43	1,02	5,39	1,45	5,86	1,37	103	160	42	32	10	1	6	11,00	2	5	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	548
FORESTA	3,00	0,94	6,39	1,02	5,80	1,36	6,23	1,31	35	83	240	132	108	12	0	11,07	3	7	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	551
FORFORA	5,02	1,13	5,95	1,36	5,32	1,71	6,48	0,98	1	9	0	0	0	0	0	10,28	3	7	s	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	567
FRASE	3,39	0,81	6,61	0,78	4,00	1,89	3,93	1,97	72	154	193	182	11	36	1	10,80	2	5	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	529
FRATE	3,84	1,03	6,11	1,17	5,86	1,52	6,05	1,46	22	42	18	10	8	2	1	10,99	2	5	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	516
FRATELLO	2,00	0,72	6,89	0,49	5,70	1,39	4,39	1,69	371	343	1001	190	811	37	0	10,93	3	8	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	536
FRECCIA	3,20	1,09	6,30	1,02	5,68	1,70	6,80	0,55	10	26	71	50	21	7	2	10,66	2	7	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	549
FRETTA	4,05	1,20	6,36	1,12	3,23	1,87	3,32	2,13	149	216	110	84	26	8	3	10,89	2	6	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	552
FUCILE	3,07	1,02	6,52	1,00	6,02	1,11	5,36	2,07	33	60	28	11	17	3	1	10,49	3	6	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	536
FULMINE	2,93	1,07	6,64	0,92	5,93	1,37	4,27	2,00	30	47	25	12	13	1	0	10,31	3	7	s	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	535
FUNE	4,48	1,36	5,93	1,26	5,20	1,65	6,11	1,26	11	5	10	9	1	0	2	10,82	2	4	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	558
FUOCO	1,93	0,70	6,93	0,33	6,27	1,15	6,14	1,44	263	566	230	160	70	19	1	10,50	2	5	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	536
FURGONE	4,23	1,26	6,39	0,95	5,75	1,46	6,80	0,46	4	49	19	18	1	2	0	10,23	3	7	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	556
FURIA	4,45	1,45	5,52	1,61	3,86	2,00	4,43	2,44	70	66	39	17	22	4	1	10,69	2	5	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	547
FURTO	4,48	1,25	6,45	0,90	3,86	1,79	5,09	2,15	99	67	11	19	2	0	2	10,53	2	5	p	sorda	fricativa	0	0	0	1	0	0	0	1	0	0	0	0	0	556
GABBIA	3,07	1,04	6,14	1,13	6,02	1,13	6,36	1,06	35	41	132	65	67	1	2	10,18	2	6	p	sonora	occlusiva	1	1	0	0	0	0	0	0	0	0	0	1	0	507
GABBIANO	3,02	0,90	6,20	1,15	6,23	0,99	5,14	2,25	6	39	23	9	14	3	0	10,45	3	8	p	sonora	occlusiva	1	1	0	0	0	0	0	0	0	0	0	1	0	546
GALERA	4,02	1,13	6,18	1,35	4,89	1,97	4,80	1,96	58	81	15	9	6	18	1	11,10	3	6	p	sonora	occlusiva	1	1	0	0	0	0	0	0	0	0	0	1	0	540
GALLERIA	3,57	0,90	6,41	0,82	5,66	1,49	4,64	2,26	31	100	45	25	20	3	0	11,07	4	8	p	sonora	occlusiva	1	1	0	0	0	0	0	0	0	0	0	1	0	545
GARA	3,20	0,76	6,43	0,85	4,43	1,73	4,93	1,78	86	368	194	84	110	16	4	11,02	2	4	p	sonora	occlusiva	1	1	0	0	0	0	0	0	0	0	0	1	0	543
GARBO	5,48	1,27	4,27	1,80	2,70	1,85	4,39	2,60	8	10	0	0	0	1	1	9,98	2	5	p	sonora	occlusiva	1	1	0	0	0	0	0	0	0	0	0	1	0	508
GAROFANO	3,48	1,15	5,73	1,45	5,89	1,51	6,70	0,88	7	24	9	6	3	0	0	10,58	4	8	s	sonora	occlusiva	1	1	0	0	0	0	0	0	0	0	0	1	0	564
GARZA	4,41	1,32	5,30	1,53	5,34	1,54	6,52	0,98	2	5	0	0	0	0	1	10,12	2	5	p	sonora	occlusiva	1	1	0	0	0	0	0	0	0	0	0	1	0	526
GATTO	1,70	0,63	6,91	0,36	6,68	0,67	4,89	2,37	75	122	976	308	668	129	6	10,95	2	5	p	sonora	occlusiva	1	1	0	0	0	0	0	0	0	0	0	1	0	515
GAZZA	4,75	1,46	3,80	2,08	4,41	2,27	6,20	1,25	1	8	0	0	0	0	4	10,10	2	5	p	sonora	occlusiva	1	1	0	0	0	0	0	0	0	0	0	1	0	523
GELSOMINO	4,55	1,44	4,32	1,96	5,27	1,81	6,70	0,63	7	11	0	0	0	0	0	10,46	4	9	p	sonora	affricata	1	0	0	0	1	0	0	0	0	0	1	0	0	588
GENIO	3,95	1,08	6,16	1,29	3,57	1,91	3,82	2,08	33	76	19	14	5	1	0	10,86	2	5	p	sonora	affricata	1	0	0	0	1	0	0	0	0	0	1	0	0	537
GENTE	2,80	1,07	6,86	0,41	5,43	1,65	5,77	1,60	579	1059	524	213	311	245	3	11,01	2	5	p	sonora	affricata	1	0	0	0	1	0	0	0	0	0	1	0	0	526
GERANIO	3,66	1,41	5,05	1,76	5,77	1,61	6,05	1,51	4	0	0	0	0	0	0	11,04	3	7	p	sonora	affricata	1	0	0	0	1	0	0	0	0	0	1	0	0	594
GHIACCIO	2,77	1,01	6,68	0,64	6,02	1,17	6,05	1,33	40	81	58	27	31	11	0	10,42	2	8	p	sonora	occlusiva	1	1	0	0	0	0	0	0	0	0	0	1	0	576
GHIRO	4,11	1,32	4,30	1,77	4,57	1,80	6,27	1,39	4	3	44	28	16	1	0	10,24	2	5	p	sonora	occlusiva	1	1	0	0	0	0	0	0	0	0	0	1	0	570
GIACCA	3,25	1,01	6,75	0,61	6,41	0,84	4,80	2,48	66	102	49	18	31	5	1	10,78	2	6	p	sonora	affricata	1	0	0	0	1	0	0	0	0	0	1	0	0	524
GIAGUARO	3,93	1,19	5,36	1,60	5,23	1,71	6,66	0,89	1	2	0	0	0	0	0	10,62	3	8	p	sonora	affricata	1	0	0	0	1	0	0	0	0	0	1	0	0	599
GIARDINO	2,66	0,89	6,64	0,84	5,93	1,19	6,39	0,99	142	240	386	143	243	27	0	10,99	3	8	p	sonora	affricata	1	0	0	0	1	0	0	0	0	0	1	0	0	529
GIGLIO	3,80	1,17	4,82	1,81	5,09	2,00	6,61	0,75	24	2	23	14	9	1	4	10,71	2	6	p	sonora	affricata	1	0	0	0	1	0	0	0	0	0	1	0	0	591
GINESTRA	5,14	1,49	4,02	1,98	4,61	2,17	5,93	1,55	4	1	0	0	0	1	2	11,06	3	8	p	sonora	affricata	1	0	0	0	1	0	0	0	0	0	1	0	0	539
GINOCCHIO	2,32	0,74	6,89	0,32	6,18	1,47	6,80	0,55	54	80	57	28	29	8	1	10,80	3	9	p	sonora	affricata	1	0	0	0	1	0	0	0	0	0	1	0	0	577
